Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1961","1961","kg/ha","383.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1962","1962","kg/ha","467.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1963","1963","kg/ha","619.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1964","1964","kg/ha","660.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1965","1965","kg/ha","518.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1966","1966","kg/ha","459","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1967","1967","kg/ha","495.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1968","1968","kg/ha","526.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1969","1969","kg/ha","879.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1970","1970","kg/ha","820.1","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1971","1971","kg/ha","682.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1972","1972","kg/ha","716.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1973","1973","kg/ha","759.3","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1974","1974","kg/ha","895.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1975","1975","kg/ha","891.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1976","1976","kg/ha","612.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1977","1977","kg/ha","696.6","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1978","1978","kg/ha","543.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1979","1979","kg/ha","459.8","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1980","1980","kg/ha","603.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1981","1981","kg/ha","435.3","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1982","1982","kg/ha","722.6","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1983","1983","kg/ha","661.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1984","1984","kg/ha","651.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1985","1985","kg/ha","641.4","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1986","1986","kg/ha","711.5","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1987","1987","kg/ha","743.5","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1988","1988","kg/ha","672.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1989","1989","kg/ha","711.5","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1990","1990","kg/ha","476.8","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01610","Coffee, green","1991","1991","kg/ha","545.8","A","Official figure",""
