Year,Production_1000t,Area_1000ha,Yield_kgha,Rainfall_mm,Temp_C,NDVI,Bearing_Trees_Millions,ONI_lagged9,Incidence_Index_pct,CWD_pct,BCTB_pct,Fertilizer_kgha,Soil_N_pct,Soil_P_ppm
1961,88.6,250,354.4,1425,23.05,0.52,100,-0.15,2,0,0,1.2,0.205,10.5
1962,89.2,252,353.968254,1280,23.1,0.52,100.8,-0.2,2,0,0,1.2,0.205,10.5
1963,90.1,255,353.3333333,1310,23.08,0.52,102,-0.1,2,0,0,1.2,0.204,10.4
1964,91,258,352.7131783,1195,23.12,0.52,103.2,0.05,2,0,0,1.2,0.204,10.4
1965,92,260,353.8461538,1150,23.15,0.52,104,0.15,2,0,0,1.2,0.203,10.3
1966,93,262,354.9618321,1105,23.18,0.52,104.8,0.25,2,0,0,1.2,0.203,10.3
1967,94,265,354.7169811,1080,23.2,0.52,106,0.35,2,0,0,1.2,0.203,10.2
1968,95,268,354.4776119,1095,23.22,0.52,107.2,0.45,2,0,0,1.2,0.202,10.2
1969,96,270,355.5555556,1120,23.25,0.52,108,0.4,2,0,0,1.2,0.202,10.1
1970,97,272,356.6176471,1145,23.28,0.52,108.8,0.3,2,0,0,1.2,0.202,10.1
1971,98,275,356.3636364,1160,23.3,0.52,110,0.2,2,0,0,1.2,0.201,10
1972,99,278,356.1151079,1175,23.32,0.52,111.2,0.1,2,0,0,1.2,0.201,10
1973,100,280,357.1428571,1185,23.35,0.52,112,-0.05,2,0,0,1.2,0.2,10
1974,101,282,358.1560284,1190,23.38,0.52,112.8,-0.15,2,0,0,1.2,0.2,9.9
1975,102,285,357.8947368,1205,23.4,0.52,114,-0.25,2,0,0,1.2,0.2,9.9
1976,103,288,357.6388889,1220,23.42,0.52,115.2,-0.35,2,0,0,1.2,0.199,9.8
1977,104,290,358.6206897,1245,23.45,0.52,116,-0.45,2,0,0,1.2,0.199,9.8
1978,105,292,359.5890411,1260,23.48,0.52,116.8,-0.4,2,0,0,1.2,0.199,9.7
1979,106,295,359.3220339,1275,23.5,0.52,118,-0.3,2,0,0,1.2,0.198,9.7
1980,107,298,359.0604027,1250,23.52,0.52,119.2,-0.2,2,0,0,1.2,0.198,9.6
1981,108,300,360,1245,23.55,0.53,120,-0.1,2.5,0,0,1.2,0.197,9.6
1982,109,302,360.9271523,1220,23.58,0.54,120.8,0,3,0,0,1.2,0.197,9.6
1983,110,305,360.6557377,1260,23.6,0.55,122,0.1,3.5,0,0,1.2,0.197,9.5
1984,111,308,360.3896104,1190,23.62,0.53,123.2,0.2,4,0,0,1.2,0.196,9.5
1985,112,310,361.2903226,1235,23.65,0.56,124,0.3,4.5,0,0,1.2,0.196,9.4
1986,113,312,362.1794872,1210,23.68,0.54,124.8,0.4,5,0,0,1.2,0.195,9.4
1987,114,315,361.9047619,1255,23.7,0.57,126,0.5,5.5,0,0,1.2,0.195,9.3
1988,115,318,361.6352201,1185,23.72,0.52,127.2,0.6,6,0,5,1.2,0.195,9.3
1989,116,320,362.5,1270,23.75,0.58,128,0.7,6.5,0,8,1.2,0.194,9.2
1990,117,322,363.3540373,1240,23.78,0.56,128.8,0.65,10,0,12,1.2,0.194,9.2
1991,118,325,363.0769231,1225,23.8,0.55,130,0.55,15,0,18,1.8,0.194,9.2
1992,119,328,362.804878,1205,23.82,0.53,131.2,0.45,20,0,25,1.8,0.193,9.1
1993,120,330,363.6363636,1265,23.85,0.59,132,0.35,25,2,30,1.8,0.193,9.1
1994,121,332,364.4578313,1230,23.88,0.56,132.8,0.25,30,5,37,1.8,0.192,9
1995,122,335,364.1791045,1250,23.9,0.57,134,0.15,35,10,35,1.8,0.192,9
1996,180,175,1028.571429,1280,23.92,0.61,135.2,0.05,40,18,30,1.8,0.192,8.9
1997,123,338,363.9053254,1195,23.95,0.52,136,-0.05,45,28,25,1.8,0.191,8.9
1998,124,340,364.7058824,1305,23.98,0.62,136.8,-0.15,50,38,20,1.8,0.191,8.8
1999,125,342,365.497076,1215,24,0.54,138,-0.25,55,48,18,1.8,0.191,8.8
2000,126,345,365.2173913,1245,24.02,0.56,139.2,-0.35,60,56,15,1.8,0.19,8.7
2001,127,348,364.9425287,1220,24.05,0.53,140,-0.45,55,60,12,1.8,0.19,8.7
2002,162,350,365.7142857,1200,24.08,0.51,140.8,-0.55,50,58,10,1.8,0.189,8.7
2003,165,352,366.4772727,1260,24.1,0.59,142,-0.6,45,52,8,1.8,0.189,8.6
